"model","strain","parameter","value","parameter_label"
"Mechanistic","SGTF","r",0.30264039302592,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.632307153830548,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.047,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",4.2587683552817,"kappa"
"Mechanistic","SGTF","sigma_z",2.00227893628228,"sigma[z]"
"Mechanistic","SGTF","lambda1",1.37461679811964,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.42697668515853,"lambda[I]"
"Mechanistic","SGTF","r",0.523973064294739,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.641079374855478,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.15947,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.17960572423257,"kappa"
"Mechanistic","SGTF","sigma_z",2.85097203202523,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.671394759364919,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.58318556871297,"lambda[I]"
"Mechanistic","SGTF","r",0.375024470677781,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.693330833839891,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.11212,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",1.90875271510202,"kappa"
"Mechanistic","SGTF","sigma_z",2.69801414353162,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.512968930486122,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.43146013964151,"lambda[I]"
"Mechanistic","SGTF","r",0.36084383654117,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.699677335146122,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.21819,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",1.83926861361642,"kappa"
"Mechanistic","SGTF","sigma_z",3.41654566101212,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.861246948298896,"lambda[1]"
"Mechanistic","SGTF","lambda_I",1.73478936054053,"lambda[I]"
"Mechanistic","SGTF","r",0.319719893285257,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.703040344339158,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",2.12672,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",3.42729047491723,"kappa"
"Mechanistic","SGTF","sigma_z",3.09457320993651,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.0485345191087665,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.557261316032475,"lambda[I]"
"Mechanistic","SGTF","r",0.193733844006184,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.802946654495429,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.83213,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",2.0439536582594,"kappa"
"Mechanistic","SGTF","sigma_z",3.94595103991247,"sigma[z]"
"Mechanistic","SGTF","lambda1",0.109561417122545,"lambda[1]"
"Mechanistic","SGTF","lambda_I",0.725719284063186,"lambda[I]"
"Mechanistic","SGTF","r",0.32958862271644,"replication~rate~italic(r)"
"Mechanistic","SGTF","d",0.72199504716147,"clearance~rate~italic(d)"
"Mechanistic","SGTF","m",1.88617,"peak~timing~italic(m)"
"Mechanistic","SGTF","kappa",9.1075159390444,"kappa"
"Mechanistic","SGTF","sigma_z",3.92316999815007,"sigma[z]"
