"model","strain","mean_gen","sd_gen"
"Lognormal","SGTF",2.9356344,1.6074371
"Lognormal","SGTF",2.7579879,1.2737871
"Lognormal","SGTF",2.9904144,1.3912393
"Lognormal","SGTF",3.0287454,1.4909866
"Lognormal","SGTF",2.944528,1.1788792
"Lognormal","SGTF",3.0044047,1.2258708
"Lognormal","SGTF",2.9620501,1.1973966
"Lognormal","SGTF",2.982093,1.2951083
"Lognormal","SGTF",2.9844446,1.5657896
"Lognormal","SGTF",3.1466221,1.8083646
"Lognormal","SGTF",3.108103,1.7495315
"Lognormal","SGTF",2.9279732,1.2083961
"Lognormal","SGTF",3.026098,1.6216435
"Lognormal","SGTF",3.0868465,1.6980045
"Lognormal","SGTF",3.1557124,1.942383
"Lognormal","SGTF",3.0087173,1.246724
"Lognormal","SGTF",3.1049822,1.7588183
"Lognormal","SGTF",2.9437729,1.1749809
"Lognormal","SGTF",3.0459181,1.5009646
"Lognormal","SGTF",3.0376961,1.5063418
"Lognormal","SGTF",2.7910798,1.3051257
"Lognormal","SGTF",2.8234162,1.3553843
"Lognormal","SGTF",2.9212857,1.1882817
"Lognormal","SGTF",3.1123912,2.2807218
"Lognormal","SGTF",3.0740682,2.1737632
"Lognormal","SGTF",3.0270557,1.3028471
"Lognormal","SGTF",2.9069879,1.3729861
"Lognormal","SGTF",2.9508662,1.2804258
"Lognormal","SGTF",2.956617,1.259801
"Lognormal","SGTF",2.7321535,1.1407184
"Lognormal","SGTF",3.1826376,1.5734983
"Lognormal","SGTF",3.1004918,1.4729683
"Lognormal","SGTF",2.8776377,1.4795443
"Lognormal","SGTF",3.1139677,2.0925336
"Lognormal","SGTF",2.9068465,1.6935214
"Lognormal","SGTF",2.8688237,1.6451232
"Lognormal","SGTF",2.8933372,1.6719069
"Lognormal","SGTF",3.0643601,1.7148897
"Lognormal","SGTF",2.9702162,1.4251199
"Lognormal","SGTF",3.0019863,1.5206822
"Lognormal","SGTF",2.91548,1.4569058
"Lognormal","SGTF",2.9330112,1.437757
"Lognormal","SGTF",2.8839284,1.1904562
"Lognormal","SGTF",3.2239295,2.0123689
"Lognormal","SGTF",3.0336247,1.6349053
"Lognormal","SGTF",2.9391794,1.6146218
"Lognormal","SGTF",3.1036276,1.8696108
"Lognormal","SGTF",3.0991277,1.8189969
"Lognormal","SGTF",3.0282289,1.2254978
"Lognormal","SGTF",2.9302609,1.4884296
"Lognormal","SGTF",2.9749331,1.5479229
"Lognormal","SGTF",2.9526847,1.6079713
"Lognormal","SGTF",3.1103034,1.4882571
"Lognormal","SGTF",3.172911,1.7400462
"Lognormal","SGTF",3.113493,1.539971
"Lognormal","SGTF",2.9445592,1.3270054
"Lognormal","SGTF",2.8874954,1.4492318
"Lognormal","SGTF",2.8284593,1.1461529
"Lognormal","SGTF",2.7855689,1.2649834
"Lognormal","SGTF",2.8931664,1.2624642
"Lognormal","SGTF",2.8109442,1.3085736
"Lognormal","SGTF",2.9892922,1.6510957
"Lognormal","SGTF",2.801221,1.1794589
"Lognormal","SGTF",2.8288638,1.1200299
